MolecularWeight,LogP,NumHDonors,NumHAcceptors,TPSA,NumRotatableBonds,molecule_chembl_id,canonical_smiles,log_standard_value
368.3850000000001,3.3699000000000026,2,6,93.06000000000002,8,CHEMBL3814189,Nc1nc(NCc2ccc(F)cc2)nc2ccccc12,4.397957380103888
298.29800000000006,2.8691,4,5,98.6,3,CHEMBL3327246,COc1ccc2oc(=O)c(C(=O)NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)cc2c1,4.127137207191501
514.0880000000002,3.3294000000000024,1,6,90.39,7,CHEMBL230931,O=C(OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(CCO)CC1,2.833147111912785
368.3850000000001,3.3699000000000026,2,6,93.06000000000002,8,CHEMBL3814363,Cc1cccc(CNc2nc(N)nc3ccccc23)c1,4.397957380103888
251.289,2.9475000000000007,2,4,58.040000000000006,3,CHEMBL4107875,COCC#Cc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OCC3(F)F)n2)c(Cl)c1,1.9138138523837167
548.8200000000004,4.413400000000004,3,7,55.040000000000006,14,CHEMBL165,Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,4.184719815150271
268.295,2.9632000000000014,2,4,63.83,3,CHEMBL3740581,CC1=NN(c2cccc(N3CCCC3)c2)C(=O)C1,4.225335132
602.8200000000004,5.942200000000006,4,6,105.14,20,CHEMBL319756,CN(C)CCNCc1cc(NC(=O)CN2CCCCC2)cc(Nc2ccnc3cc(Cl)ccc23)c1,3.3012470886362117
364.478,4.3607200000000015,4,5,81.41999999999999,7,CHEMBL3622258,CC(C)c1c(NC(=O)/C=C/c2ccc(O)c(O)c2)cc2c(c1[N+](=O)[O-])CC[C@H]1[C@](C)(CNC(=O)/C=C/c3ccc(O)c(O)c3)CCC[C@]21C,3.597804842404293
485.63700000000006,9.043959999999998,0,5,50.82,6,CHEMBL2425955,Cc1nc2cc(/C=C/C(=O)NO)ccc2c(=O)n1-c1ccccc1,4.264841425329148
329.201,3.5866000000000016,2,4,63.83,3,CHEMBL3800453,O=C(COC(=O)c1ccc(O)c(O)c1)Nc1c2c(nc3ccccc13)CCCC2,1.2638726768652235
123.11099999999998,0.7797999999999999,1,2,50.19,1,CHEMBL2402160,CN(C)c1ccc(O)c(CNc2ccc(/C=C/c3cc(O)cc(O)c3)cc2)c1,3.813647695346897
364.401,4.178900000000003,3,5,87.60000000000001,6,CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,3.917558020825436
342.39100000000013,2.607400000000001,2,5,87.74000000000001,0,CHEMBL3330751,COc1ccc(-c2cc3c(s2)c2sc(-c4ccc(C=O)s4)cc2n3C(C)(C)C)cc1,2.5809249756756194
250.305,2.8241000000000014,2,4,63.83,3,CHEMBL3815140,CC(C)Nc1nc(N)c2ccccc2n1,4.397957380103888
445.5160000000003,2.3515999999999995,4,7,133.82999999999998,10,CHEMBL5080033,COCCOc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CO[C@@](C)(C(F)(F)F)C(N)=N3)n2)c(N)n1,1.380211241711606
390.5310000000001,4.719300000000005,0,5,45.400000000000006,4,CHEMBL4851224,CNS(=O)(=O)c1cc(C(=O)OC)c(NCc2ccco2)cc1Cl,4.747807852984134
270.24,2.576800000000001,3,5,90.9,1,CHEMBL4225384,CN1CCN(Cc2ccccc2Nc2cc(C(=O)NCCN3CCCCC3)cc(C(=O)NCCN3CCCCC3)c2)CC1,4.000043427276863
531.0740000000003,5.664400000000004,2,4,75.27000000000001,6,CHEMBL3659993,CC(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12,0.9030899869919436
622.1779999999998,6.522200000000008,0,5,70.16,6,CHEMBL205400,CCC[C@H](C(=O)NCc1ccco1)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,3.477265995424853
234.299,0.81742,1,4,45.47,5,CHEMBL5431087,O=c1ccoc(/C=C/c2ccc(N3CCOCC3)cc2)c1O,4.378960846770892
320.10900000000004,2.9093000000000018,4,5,90.15,1,CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,4.352394787974109
529.3890000000001,5.6797800000000045,2,7,116.85000000000002,10,CHEMBL3814159,CNc1cccc(NCCc2cccc(NCc3ccccn3)n2)n1,4.113976758289846
552.4910000000004,5.437000000000006,5,10,170.79999999999998,4,CHEMBL319756,CN(C)CCNCc1cc(NC(=O)CN2CCCCC2)cc(Nc2ccnc3cc(Cl)ccc23)c1,3.322426052405953
430.3370000000001,2.5832000000000006,3,7,128.51,4,CHEMBL3672698,CC1=N[C@]2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1C[C@]21CC[C@@H](O)CC1,0.414973348
527.6340000000002,3.096700000000002,1,6,90.39,7,CHEMBL231351,O=C(NCCCn1ccnc1)OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1,2.813580988568192
343.81400000000014,3.9550000000000023,1,5,56.27,6,CHEMBL3905561,COc1ccc(S(=O)(=O)CC[C@@H]2OCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OCC23)cn1,1.2430380486862944
471.27700000000016,4.020000000000002,2,5,89.6,3,CHEMBL4877129,COc1cc(/C=C/C(=O)N2CCC[C@H]2C(=O)NCCOc2ccccc2)ccc1OCc1ccccc1,3.934043719035525
335.363,2.1578,2,5,84.22,5,CHEMBL2402157,Oc1cc(O)cc(/C=C/c2ccc(NCc3ccccc3O)cc2)c1,4.009493388
251.289,2.861200000000001,0,3,45.56,2,CHEMBL3582127,C[C@]1(O)c2ccc3c(c2C(=O)c2occ(CCCO)c21)CCC3=O,4.447173541582463
